INDEX,BATTING_2B,BATTING_3B,BATTING_HR,BATTING_BB,BATTING_SO,BASERUN_SB,PITCHING_H,PITCHING_HR,PITCHING_BB,PITCHING_SO,FIELDING_E,FIELDING_DP,BATTING_1B,BATTING_TB,WHGP,PITCHING_SO_BB,BATTING_BB_SO,BsR
368,260,59,110,630,541,72,1648,117,671,577,167,166,1117,2254,14.31481481,0.859910581,1.164510166,792.4750244
372,282,53,115,723,695,47,1595,121,761,731,146,174,1066,2249,14.54320988,0.960578187,1.04028777,814.4410028
382,275,47,146,765,723,29,1631,154,805,761,178,177,1082,2357,15.03703704,0.945341615,1.058091286,874.4588797
388,260,54,148,532,935,39,1465,150,539,947,130,154,985,2259,12.37037037,1.756957328,0.568983957,731.2451978
396,252,28,203,594,855,50,1450,203,594,855,156,131,967,2367,12.61728395,1.439393939,0.694736842,787.7423467
398,239,36,130,546,897,69,1408,136,571,938,136,147,942,2048,12.21604938,1.642732049,0.608695652,645.5531741
403,260,56,214,531,911,66,1571,215,534,917,133,163,1031,2575,12.99382716,1.717228464,0.58287596,860.5551723
407,252,26,135,567,780,48,2367,203,851,1170,137,162,1165,2287,19.86419753,1.374853114,0.726923077,790.0441827
410,259,45,181,500,842,38,1598,181,500,842,143,128,1113,2490,12.95061728,1.684,0.593824228,835.443415
412,322,21,145,599,711,41,1506,146,603,715,130,147,1009,2296,13.01851852,1.185737977,0.842475387,779.9364792
414,310,39,124,623,728,65,1569,124,623,728,93,123,1096,2329,13.5308642,1.168539326,0.855769231,820.9843182
436,118,33,7,37,0,NA,4120,26,136,0,1568,NA,961,1324,26.27160494,0,Inf,247.7796686
440,196,120,62,781,599,536,1931,74,937,719,470,NA,1231,2231,17.7037037,0.767342583,1.303839733,862.2794445
476,175,70,80,615,612,392,1803,95,733,729,413,NA,1189,2069,15.65432099,0.994542974,1.004901961,717.5157399
479,237,119,41,593,334,325,2114,52,756,426,537,NA,1260,2255,17.71604938,0.563492063,1.775449102,818.26864
481,213,106,69,526,429,324,2176,86,655,535,500,NA,1358,2378,17.47530864,0.816793893,1.226107226,862.401552
501,224,70,56,416,677,176,1397,59,440,717,284,100,969,1851,11.33950617,1.629545455,0.614475628,534.5768675
503,204,70,18,437,630,134,1360,19,460,663,281,127,1001,1691,11.2345679,1.441304348,0.693650794,484.3772655
506,235,70,36,450,443,121,1494,38,473,466,237,118,1079,1903,12.14197531,0.985200846,1.015801354,584.559656
519,269,54,76,412,500,55,1574,80,433,526,177,171,1097,2101,12.38888889,1.2147806,0.824,654.4385583
522,289,38,80,517,486,72,1709,84,544,511,154,164,1218,2230,13.90740741,0.939338235,1.063786008,769.6193228
550,239,50,145,499,1041,70,1391,145,499,1041,162,147,957,2165,11.66666667,2.086172345,0.479346782,677.2299463
554,203,43,130,415,854,41,1319,130,415,854,119,149,943,1998,10.7037037,2.057831325,0.485948478,584.0065937
566,251,35,107,471,912,93,1411,107,471,912,174,149,1018,2053,11.61728395,1.936305732,0.516447368,638.0683391
578,221,41,104,417,816,77,1420,104,417,816,114,142,1054,2035,11.33950617,1.956834532,0.511029412,617.6586949
596,206,106,38,566,401,334,1849,45,674,478,411,119,1202,2084,15.57407407,0.709198813,1.411471322,718.228307
599,203,72,15,392,616,227,1346,16,412,648,250,100,990,1672,10.85185185,1.572815534,0.636363636,462.4321583
605,122,61,7,427,NA,194,1186,7,452,NA,332,106,930,1385,10.11111111,NA,NA,356.2953079
607,183,84,18,445,NA,216,1462,19,468,NA,304,107,1105,1795,11.91358025,NA,NA,541.211273
614,252,81,29,494,414,174,1798,34,572,479,200,134,1192,2055,14.62962963,0.837412587,1.193236715,684.411307
644,218,69,45,738,627,65,1483,47,776,660,142,189,1078,1901,13.94444444,0.850515464,1.177033493,674.2242574
692,262,28,159,573,907,107,1516,160,577,913,126,132,1058,2302,12.91975309,1.582322357,0.631753032,775.9610251
699,284,19,242,499,1030,78,1481,242,499,1030,100,167,936,2529,12.22222222,2.064128257,0.484466019,812.9252401
700,253,23,200,435,1002,137,1450,200,435,1002,94,166,974,2349,11.63580247,2.303448276,0.434131737,728.9708824
716,260,93,26,487,288,446,2088,33,621,367,321,NA,1258,2161,16.72222222,0.590982287,1.690972222,742.1222846
721,202,82,44,376,681,160,1674,51,438,794,414,119,1108,1934,13.03703704,1.812785388,0.552129222,574.7500642
722,218,89,21,344,538,152,1851,24,398,623,373,137,1272,2059,13.88271605,1.565326633,0.639405204,647.1849864
729,168,76,23,506,NA,296,1427,24,536,NA,327,127,1081,1737,12.11728395,NA,NA,531.828664
731,191,111,22,612,629,306,1546,23,648,666,314,114,1136,1939,13.54320988,1.027777778,0.972972973,659.8720209
746,255,126,37,478,350,54,1705,39,503,368,193,168,1203,2239,13.62962963,0.731610338,1.365714286,758.2102938
763,241,49,45,468,501,52,1507,47,492,527,127,203,1098,1907,12.33950617,1.071138211,0.934131737,595.2211665
774,232,48,155,586,679,49,1515,163,616,714,144,204,1005,2233,13.15432099,1.159090909,0.863033873,740.0289366
776,211,34,232,555,799,47,1556,244,584,841,119,155,1002,2454,13.20987654,1.440068493,0.694618273,809.8811181
788,281,36,106,379,938,59,1573,106,379,938,144,144,1150,2244,12.04938272,2.474934037,0.404051173,709.4283941
789,224,42,171,474,1042,79,1558,171,474,1042,168,158,1121,2379,12.54320988,2.198312236,0.454894434,780.4705317
792,225,46,130,637,961,147,1457,137,670,1011,116,150,984,2092,13.12962963,1.508955224,0.662851197,697.6273301
811,250,27,164,488,1006,124,1419,164,488,1006,125,131,978,2215,11.77160494,2.06147541,0.485089463,697.085791
835,198,61,19,383,NA,186,1351,20,403,NA,270,100,1006,1661,10.82716049,NA,NA,457.9021252
837,200,68,10,390,NA,201,1495,11,416,NA,262,119,1125,1769,11.7962963,NA,NA,518.8917882
861,358,48,105,553,455,55,1716,110,582,479,179,173,1120,2400,14.18518519,0.823024055,1.215384615,838.489455
862,343,82,98,487,600,67,1764,104,516,635,184,156,1143,2467,14.07407407,1.230620155,0.811666667,846.2396115
863,376,86,129,541,494,69,1898,136,569,520,191,162,1213,2739,15.22839506,0.913884007,1.0951417,1001.908383
871,284,53,74,539,624,50,1614,78,567,656,173,202,1123,2146,13.46296296,1.15696649,0.863782051,722.7989038
879,222,52,156,659,788,48,1548,164,693,829,163,148,1042,2266,13.83333333,1.196248196,0.836294416,783.9711804
887,229,21,134,467,603,61,1566,141,491,634,133,174,1105,2162,12.69753086,1.291242363,0.774461028,691.6691827
892,198,21,156,506,857,109,1367,156,506,857,114,127,992,2075,11.5617284,1.693675889,0.590431739,648.0585277
904,222,46,101,534,692,88,1494,102,537,696,131,146,1116,2102,12.53703704,1.296089385,0.771676301,693.1529333
909,225,32,109,651,625,151,1458,109,651,625,123,129,1092,2074,13.01851852,0.960061444,1.0416,715.2917506
925,334,30,198,630,1061,143,1530,198,630,1061,110,146,968,2518,13.33333333,1.684126984,0.593779453,869.3912359
940,160,72,30,523,508,289,1731,37,637,619,445,NA,1159,1815,14.61728395,0.971742543,1.029527559,579.5995453
951,301,122,58,347,127,399,10814,336,2008,735,1261,NA,1388,2588,79.14814815,0.366035857,2.732283465,904.7199261
976,169,66,26,431,344,156,1680,31,517,413,398,133,1139,1779,13.5617284,0.798839458,1.252906977,534.5859429
981,193,81,12,340,NA,207,1614,13,367,NA,285,85,1208,1885,12.22839506,NA,NA,561.9218101
983,223,62,20,423,NA,298,1544,21,451,NA,286,93,1144,1856,12.31481481,NA,NA,568.1586569
984,200,76,29,483,NA,262,1457,31,508,NA,296,83,1080,1824,12.12962963,NA,NA,561.3415017
989,218,99,24,716,554,254,1518,25,753,583,271,113,1102,1931,14.01851852,0.774236388,1.292418773,687.2936306
995,284,106,61,616,398,101,1932,65,652,421,245,113,1374,2504,15.95061728,0.645705521,1.547738693,970.4069055
1000,296,95,38,630,445,93,1712,40,663,468,207,159,1198,2227,14.66049383,0.705882353,1.415730337,812.9092621
1001,299,106,54,622,445,149,1718,57,659,471,221,183,1164,2296,14.67283951,0.714719272,1.397752809,830.4839344
1007,298,82,60,500,550,72,1637,63,526,579,187,176,1116,2198,13.35185185,1.100760456,0.909090909,732.1913782
1016,228,39,80,535,501,41,1453,84,563,527,203,149,1034,1927,12.44444444,0.936056838,1.067864271,610.8459781
1027,272,46,114,532,634,32,1637,120,560,667,138,157,1124,2262,13.5617284,1.191071429,0.839116719,763.4527876
1033,206,32,168,610,775,36,1490,177,642,815,130,138,1010,2190,13.16049383,1.269470405,0.787096774,728.7304051
1070,257,21,204,546,1268,87,1413,204,546,1268,135,157,931,2324,12.09259259,2.322344322,0.430599369,748.8189898
1081,253,102,33,262,482,NA,2901,64,505,930,652,154,1116,2060,21.02469136,1.841584158,0.543568465,591.2709793
1084,165,68,45,299,1011,NA,1726,65,432,1462,743,NA,915,1629,13.32098765,3.384259259,0.295746785,410.3573323
1098,325,30,166,470,1145,89,1461,166,470,1145,103,174,940,2344,11.91975309,2.436170213,0.410480349,739.5870118
1150,294,36,187,590,999,89,1458,187,590,999,101,136,941,2385,12.64197531,1.693220339,0.590590591,793.1996867
1160,237,64,25,360,814,129,1734,33,482,1090,609,NA,969,1735,13.67901235,2.261410788,0.442260442,475.6319461
1169,263,58,118,591,675,155,1431,118,591,675,155,151,992,2164,12.48148148,1.14213198,0.875555556,716.9208663
1172,305,59,98,498,644,216,1469,98,498,644,150,153,1007,2186,12.14197531,1.293172691,0.773291925,702.1338034
1174,266,59,115,508,709,185,1633,115,508,709,141,150,1193,2362,13.21604938,1.395669291,0.716502116,810.3465022
1176,295,58,132,442,758,133,1603,132,442,758,127,140,1118,2410,12.62345679,1.714932127,0.583113456,791.1333738
1178,269,52,117,400,832,106,1487,117,400,832,129,157,1049,2211,11.64814815,2.08,0.480769231,682.225155
1184,318,44,101,501,884,108,1483,102,504,889,123,162,1011,2183,12.2654321,1.763888889,0.566742081,703.8671464
1193,296,52,152,538,938,128,1604,153,541,944,126,190,1094,2450,13.24074074,1.744916821,0.573560768,835.594616
1196,285,42,140,524,921,140,1415,140,524,921,130,153,948,2204,11.9691358,1.757633588,0.568946797,702.9401273
1199,289,34,126,424,1008,53,1445,126,424,1008,125,163,996,2180,11.53703704,2.377358491,0.420634921,670.1622722
1207,199,81,29,408,508,386,1576,34,472,588,581,NA,1053,1810,12.64197531,1.245762712,0.803149606,528.1988567
1218,195,106,30,522,288,297,1721,33,571,315,344,NA,1241,2069,14.14814815,0.551663748,1.8125,704.0789865
1223,168,56,16,435,NA,217,1280,17,461,NA,363,92,969,1537,10.74691358,NA,NA,420.1530569
1226,155,69,20,368,NA,132,1359,22,403,NA,287,103,998,1595,10.87654321,NA,NA,425.8398789
1227,116,63,29,340,NA,119,1155,31,358,NA,254,69,890,1427,9.339506173,NA,NA,346.8573728
1229,175,77,26,457,743,159,1299,27,481,782,246,131,957,1642,10.98765432,1.625779626,0.615074024,463.7508971
1241,247,80,59,357,335,83,1737,62,376,352,219,146,1265,2235,13.04320988,0.936170213,1.065671642,722.1445771
1244,265,85,68,463,406,39,1813,72,490,430,221,138,1294,2351,14.21604938,0.87755102,1.140394089,817.8394885
1246,206,78,41,390,523,112,1473,43,413,554,239,124,1066,1876,11.64197531,1.341404358,0.745697897,550.2552013
1248,299,73,105,534,481,85,1721,111,565,509,203,120,1148,2385,14.11111111,0.900884956,1.11018711,824.6830288
1249,319,77,128,506,569,56,1830,135,532,599,178,176,1216,2597,14.58024691,1.12593985,0.889279438,919.4669771
1253,303,55,84,584,592,59,1733,90,622,631,192,150,1184,2291,14.53703704,1.014469453,0.986486486,814.0943771
1261,277,36,65,602,509,85,1547,68,633,535,145,158,1093,2015,13.45679012,0.845181675,1.182711198,683.817187
1305,232,14,130,478,966,155,1373,130,478,966,179,118,997,2023,11.42592593,2.020920502,0.494824017,623.4505568
1314,215,35,158,527,1151,143,1649,178,593,1295,146,135,1058,2225,13.83950617,2.18381113,0.457862728,725.3019778
1323,226,30,203,536,1092,102,1450,203,536,1092,73,145,991,2345,12.25925926,2.037313433,0.490842491,761.8072208
1328,223,57,18,259,391,NA,2985,36,524,792,780,75,1176,1865,21.66049383,1.511450382,0.662404092,525.0845828
1353,228,49,120,500,909,106,1335,120,500,909,127,168,938,2021,11.32716049,1.818,0.550055006,619.447238
1363,233,36,97,435,677,52,1464,98,438,681,137,157,1089,2051,11.74074074,1.554794521,0.64254062,636.8280545
1371,272,35,82,511,779,256,1477,82,511,779,89,146,1088,2065,12.27160494,1.52446184,0.655969191,671.3929237
1372,240,25,125,555,932,138,1426,125,555,932,131,148,1036,2091,12.22839506,1.679279279,0.595493562,681.3885327
1389,183,61,11,304,814,161,1346,12,326,873,336,104,1000,1593,10.32098765,2.67791411,0.373464373,409.0077881
1393,141,79,9,392,NA,181,1347,10,418,NA,294,95,1035,1590,10.89506173,NA,NA,434.2237171
1421,310,89,66,610,421,110,1795,70,646,446,193,173,1230,2381,15.06790123,0.690402477,1.448931116,878.1026806
1431,274,66,63,538,674,54,1536,66,566,709,222,170,1057,2055,12.97530864,1.252650177,0.798219585,672.28721
1437,237,46,53,610,639,50,1419,56,642,672,137,160,1013,1837,12.72222222,1.046728972,0.954616588,596.8702992
1442,226,40,117,554,771,14,1410,123,583,811,135,167,957,1997,12.30246914,1.391080617,0.718547341,630.1744776
1450,257,42,150,554,969,92,1396,150,554,969,172,158,947,2187,12.03703704,1.749097473,0.571723426,703.3035352
1463,259,47,82,604,684,99,1472,82,604,684,146,171,1084,2071,12.81481481,1.132450331,0.883040936,702.9412277
1464,256,46,112,526,693,66,1544,112,526,693,134,203,1130,2228,12.77777778,1.317490494,0.759018759,747.0899537
1470,282,41,141,502,779,68,1453,141,502,779,120,139,989,2240,12.06790123,1.551792829,0.644415918,716.8692444
1471,257,39,196,501,977,81,1446,196,501,977,118,168,954,2369,12.01851852,1.9500998,0.512794268,755.1660994
1484,289,30,106,506,990,119,1486,107,512,1002,93,146,1043,2135,12.33333333,1.95703125,0.511111111,689.5436357
1495,44,29,0,15,44,0,22768,0,221,648,1473,NA,1473,1648,141.9074074,2.932126697,0.340909091,402.4844859
1507,195,31,103,353,932,36,1372,103,353,932,166,154,1043,1938,10.64814815,2.640226629,0.378755365,557.967017
1514,203,29,98,547,958,89,1365,98,547,958,112,135,1035,1920,11.80246914,1.751371115,0.570981211,609.2431942
1526,172,26,112,436,1031,141,1314,112,436,1031,151,171,1004,1874,10.80246914,2.364678899,0.422890398,551.8315321
1549,323,41,200,547,1071,146,1469,200,547,1071,104,131,905,2474,12.44444444,1.957952468,0.510737628,807.6140866
1552,185,86,32,326,642,NA,2073,48,489,963,680,NA,1079,1835,15.81481481,1.969325153,0.507788162,515.375297
1556,218,135,29,449,459,252,2000,35,547,559,488,93,1260,2217,15.72222222,1.021937843,0.978213508,747.6839792
1564,153,65,17,437,NA,201,1420,18,469,NA,352,101,1089,1658,11.66049383,NA,NA,480.8947753
1585,313,116,160,677,599,96,1862,168,712,630,219,139,1181,2795,15.88888889,0.884831461,1.130217028,1060.369469
1586,293,83,164,792,587,146,1869,174,839,622,177,139,1225,2716,16.71604938,0.74135876,1.34923339,1079.593768
1590,277,76,113,657,510,74,1729,123,714,554,164,124,1124,2358,15.08024691,0.775910364,1.288235294,849.8636208
1591,334,88,193,741,629,82,1879,204,785,666,173,157,1160,2864,16.44444444,0.848407643,1.178060413,1108.494008
1592,297,77,183,746,639,63,1720,193,785,672,178,141,1078,2635,15.46296296,0.856050955,1.167449139,984.9730871
1603,264,79,146,655,503,25,1638,154,689,529,126,169,1068,2417,14.36419753,0.76777939,1.302186879,856.2797154
1612,210,57,153,591,746,52,1562,161,622,785,129,193,1065,2268,13.48148148,1.262057878,0.792225201,765.1333395
1634,229,41,152,515,597,66,1479,154,521,604,124,185,1039,2228,12.34567901,1.159309021,0.862646566,720.5610934
1645,208,19,147,427,1027,119,1322,147,427,1027,126,164,948,2009,10.7962963,2.405152225,0.415774099,593.5210288
1647,281,18,163,536,903,78,1462,163,536,903,112,165,1000,2268,12.33333333,1.684701493,0.593576966,740.3113329
1673,217,115,23,517,NA,275,1638,25,551,NA,280,123,1182,2053,13.51234568,NA,NA,686.8696892
1674,236,85,35,565,579,234,1583,37,598,613,224,114,1139,2006,13.46296296,1.025083612,0.97582038,675.6586089
1687,280,70,66,565,488,60,1585,71,610,527,187,141,1052,2086,13.54938272,0.863934426,1.157786885,693.4955262
1688,296,74,59,580,343,103,1777,62,610,361,204,130,1260,2310,14.7345679,0.591803279,1.690962099,841.3329753
1700,301,59,104,536,567,64,1634,111,571,604,224,140,1069,2264,13.61111111,1.057793345,0.945326279,758.4175017
1708,229,55,64,636,592,39,1451,67,669,623,150,169,1031,1910,13.08641975,0.931240658,1.074324324,636.3130661
1713,223,37,94,718,590,55,1444,99,755,621,147,156,1019,1952,13.57407407,0.822516556,1.216949153,674.5323562
1717,215,43,118,505,765,42,1466,124,531,805,175,197,1018,2049,12.32716049,1.516007533,0.660130719,644.0150733
1721,223,36,116,540,783,17,1442,122,568,824,134,157,996,2014,12.40740741,1.450704225,0.689655172,638.5496988
1730,210,28,148,617,953,100,1400,148,617,953,137,162,1014,2110,12.45061728,1.544570502,0.647429171,701.2361075
1737,209,33,114,596,823,343,1335,115,600,828,145,131,971,1944,11.94444444,1.38,0.72417983,623.540037
1748,263,33,199,593,1056,140,1432,199,593,1056,142,122,937,2358,12.5,1.780775717,0.56155303,779.3702271
1749,251,22,156,580,926,129,1474,156,580,926,105,151,1045,2237,12.67901235,1.596551724,0.626349892,748.7539255
1763,279,28,205,609,1008,46,1450,205,609,1008,102,144,938,2400,12.70987654,1.655172414,0.604166667,802.656186
1768,292,140,32,259,70,259,10935,173,1399,378,1172,NA,1561,2693,76.13580247,0.270192995,3.7,966.1631759
1778,281,102,35,391,473,580,2033,43,476,576,643,NA,1251,2259,15.48765432,1.210084034,0.826638478,748.0961977
1780,291,79,52,650,604,307,1987,63,792,736,566,NA,1209,2236,17.15432099,0.929292929,1.07615894,823.6524894
1782,299,79,5,233,587,NA,2347,8,385,970,1056,NA,1037,1892,16.86419753,2.519480519,0.39693356,508.8624343
1784,230,52,29,324,591,NA,1932,43,477,870,658,NA,1001,1733,14.87037037,1.823899371,0.54822335,468.8082117
1794,336,90,75,573,324,341,2545,93,709,401,456,NA,1557,2799,20.08641975,0.565585331,1.768518519,1148.735532
1803,181,58,25,402,NA,169,1440,27,428,NA,427,99,1087,1723,11.5308642,NA,NA,497.2249406
1804,199,87,17,433,NA,192,1548,18,461,NA,293,106,1149,1876,12.40123457,NA,NA,578.3608752
1819,242,57,68,300,562,106,1552,72,318,595,246,143,1099,2026,11.54320988,1.871069182,0.533807829,586.6568149
1832,256,44,64,406,511,59,1635,68,433,545,195,166,1170,2070,12.7654321,1.258660508,0.794520548,653.3260703
1833,311,38,61,433,581,57,1749,66,471,632,214,152,1199,2179,13.7037037,1.341825902,0.745266781,718.7853836
1844,207,28,59,472,527,57,1414,62,497,554,246,158,1050,1784,11.7962963,1.114688129,0.895635674,537.3731206
1847,239,41,96,463,629,72,1513,101,487,662,221,133,1062,2047,12.34567901,1.359342916,0.73608903,640.1363502
1854,225,53,139,686,708,46,1439,146,722,745,116,123,951,2116,13.33950617,1.031855956,0.968926554,716.8109399
1855,218,52,127,615,708,47,1453,134,647,745,151,147,984,2084,12.96296296,1.151468315,0.868644068,686.9117327
1857,250,59,130,603,916,54,1576,137,634,964,136,143,1059,2256,13.64197531,1.520504732,0.658296943,769.0492501
1864,206,53,145,497,1098,46,1398,146,500,1105,158,154,985,2136,11.71604938,2.21,0.452641166,667.7135697
1865,224,49,117,510,969,56,1448,117,510,969,113,147,1058,2121,12.08641975,1.9,0.526315789,681.522449
1869,225,58,102,522,1073,72,1315,103,525,1080,113,135,922,1954,11.35802469,2.057142857,0.486486486,598.294756
1880,250,38,104,563,654,156,2297,157,852,990,130,136,1125,2155,19.4382716,1.161971831,0.860856269,728.7367419
1881,245,25,112,506,831,128,1417,112,506,831,121,138,1035,2048,11.87037037,1.64229249,0.608904934,649.5774695
1882,209,45,125,640,906,143,1352,125,640,906,152,117,973,2026,12.2962963,1.415625,0.706401766,669.3090711
1894,296,34,106,559,995,81,1640,119,629,1119,108,156,1022,2140,14.00617284,1.779014308,0.561809045,706.0492952
1896,290,35,116,519,1032,92,1390,116,519,1032,105,134,949,2098,11.78395062,1.988439306,0.502906977,661.8979694
1916,257,80,52,515,573,284,1810,64,632,703,471,NA,1086,2048,15.07407407,1.112341772,0.89877836,666.4148188
1918,178,85,35,512,604,246,1654,42,614,725,570,NA,1080,1831,14,1.180781759,0.847682119,571.0912196
1921,277,155,60,541,259,319,2264,75,674,323,441,NA,1325,2584,18.13580247,0.479228487,2.088803089,963.0402204
1926,213,133,29,418,375,195,1860,32,454,408,392,NA,1336,2277,14.28395062,0.898678414,1.114666667,778.3918852
1938,217,112,52,552,613,168,1489,55,581,645,243,138,1034,2012,12.77777778,1.110154905,0.900489396,650.7979252
1979,190,32,97,511,762,45,1329,102,538,802,190,176,944,1808,11.52469136,1.49070632,0.670603675,541.4410146
1982,221,63,96,495,686,23,1397,101,521,722,175,184,948,1963,11.83950617,1.385796545,0.721574344,597.2164152
1987,248,59,126,511,786,36,1653,133,538,827,135,171,1138,2315,13.52469136,1.537174721,0.650127226,777.134381
1997,235,70,130,444,871,66,1522,130,444,871,137,195,1087,2287,12.13580247,1.961711712,0.509758898,730.3714002
2004,278,57,133,474,878,260,1550,133,474,878,145,137,1082,2341,12.49382716,1.852320675,0.539863326,765.4617169
2011,237,33,98,438,841,96,1412,98,438,841,128,142,1044,2009,11.41975309,1.920091324,0.520808561,614.1557434
2015,243,46,111,560,959,120,1361,112,567,971,126,130,944,2012,11.90123457,1.712522046,0.583941606,637.1698398
2022,276,30,141,513,1094,95,1621,159,577,1231,136,155,994,2200,13.56790123,2.133448873,0.468921389,705.4411268
2025,271,35,107,393,1060,159,1395,107,393,1060,140,161,982,2057,11.03703704,2.697201018,0.370754717,610.0849148
2027,320,31,168,564,1032,86,1506,168,564,1032,132,169,987,2392,12.77777778,1.829787234,0.546511628,799.955463
2031,269,39,143,418,1073,63,1446,144,421,1080,104,190,986,2213,11.52469136,2.565320665,0.389561976,676.6581968
2036,241,70,13,111,102,92,6893,41,353,324,1217,NA,1846,2590,44.72839506,0.917847025,1.088235294,933.1101796
2066,194,53,94,537,775,101,1332,95,540,780,141,155,983,1906,11.55555556,1.444444444,0.692903226,592.0461634
2073,239,25,136,484,917,96,1442,136,484,917,135,135,1042,2139,11.88888889,1.894628099,0.52780807,677.7940415
2087,279,37,157,602,1177,131,1413,157,602,1177,141,155,940,2237,12.4382716,1.955149502,0.511469839,739.1084036
2092,269,39,130,600,977,99,1416,130,600,977,109,136,978,2153,12.44444444,1.628333333,0.614124872,712.7537118
2125,216,97,33,360,712,NA,2203,48,521,1030,743,NA,1177,2032,16.81481481,1.97696737,0.505617978,622.1316411
2148,169,51,24,546,NA,217,1370,25,578,NA,244,79,1050,1637,12.02469136,NA,NA,499.5529475
2162,251,98,79,497,413,145,1766,84,526,437,198,164,1240,2352,14.14814815,0.830798479,1.203389831,815.5875677
2191,215,53,140,660,662,44,1496,147,694,696,144,190,1014,2163,13.51851852,1.002881844,0.996978852,737.5696437
2203,231,31,200,513,807,72,1496,196,504,792,139,150,1062,2417,12.34567901,1.571428571,0.635687732,796.2385678
2218,227,41,134,568,842,90,1392,134,568,842,178,136,990,2103,12.09876543,1.482394366,0.674584323,680.7937475
2221,200,44,80,512,845,101,1326,80,515,850,157,125,994,1846,11.36419753,1.650485437,0.60591716,563.8980394
2225,229,26,112,528,980,126,1499,112,528,980,169,134,1132,2116,12.51234568,1.856060606,0.53877551,699.5141433
2232,215,48,141,471,973,95,1345,141,471,973,108,151,941,2079,11.20987654,2.06581741,0.484069887,631.4801804
2267,210,139,66,542,355,233,1988,81,665,436,523,NA,1205,2306,16.37654321,0.655639098,1.526760563,802.1093659
