TARGET_WINS,BATTING_2B,BATTING_3B,BATTING_HR,BATTING_BB,BATTING_SO,BASERUN_SB,PITCHING_H,PITCHING_HR,PITCHING_BB,PITCHING_SO,FIELDING_E,FIELDING_DP,BATTING_1B,BATTING_TB,WHGP,PITCHING_SO_BB,BATTING_BB_SO,BsR
66,239,32,107,546,900,92,1478,108,553,911,136,146,1082,2084,12.53703704,1.647377939,0.606666667,684.7498723
75,197,24,143,579,841,65,2047,211,853,1239,149,177,1026,2064,17.90123457,1.452520516,0.688466112,672.1580197
93,268,26,186,613,760,55,1518,186,613,760,106,171,1038,2396,13.15432099,1.239804241,0.806578947,822.4531867
70,241,22,154,509,835,41,1467,154,509,835,154,190,1050,2214,12.19753086,1.640471513,0.609580838,716.1315749
81,211,30,150,556,928,80,1363,150,556,928,128,170,972,2084,11.84567901,1.669064748,0.599137931,664.8050707
90,215,31,153,648,902,106,1364,153,648,902,112,202,965,2100,12.41975309,1.391975309,0.718403548,699.0168773
92,236,36,167,671,860,109,1387,167,671,860,107,156,948,2196,12.7037037,1.281669151,0.780232558,742.7157492
75,257,26,172,590,926,125,1406,172,590,926,117,162,951,2231,12.32098765,1.569491525,0.637149028,732.1596898
75,258,31,124,469,819,86,1458,124,469,819,135,175,1045,2150,11.89506173,1.746268657,0.572649573,679.815887
91,208,37,145,429,1011,89,1422,145,429,1011,96,173,1032,2139,11.42592593,2.356643357,0.424332344,655.4657351
80,237,27,147,566,1000,69,1448,147,566,1000,140,186,1037,2180,12.43209877,1.766784452,0.566,719.0981285
81,245,29,115,448,928,94,1396,115,448,928,102,156,1007,2044,11.38271605,2.071428571,0.482758621,624.8070894
72,202,20,88,416,882,160,1306,88,416,882,134,172,996,1812,10.62962963,2.120192308,0.471655329,523.6599707
71,259,24,114,564,930,169,1399,114,564,930,120,161,1002,2048,12.11728395,1.64893617,0.606451613,663.5561335
66,251,23,169,566,1007,92,2068,238,797,1419,107,155,1025,2272,17.68518519,1.7804266,0.562065541,753.5187219
87,282,28,208,630,993,65,1735,232,704,1109,106,134,1035,2515,15.05555556,1.575284091,0.634441088,875.982132
70,258,24,193,530,980,53,1591,194,533,986,129,157,1106,2466,13.11111111,1.849906191,0.540816327,833.9040177
84,279,25,161,617,953,126,1531,161,617,953,126,140,1066,2343,13.25925926,1.544570502,0.647429171,811.1062528
85,314,27,147,510,1028,93,1530,147,510,1028,106,146,1042,2339,12.59259259,2.015686275,0.496108949,771.8719355
70,248,22,158,511,1022,71,1404,158,511,1022,106,156,976,2170,11.82098765,2,0.5,687.0438952
82,309,34,236,608,1024,93,1574,236,608,1024,134,184,995,2659,13.4691358,1.684210526,0.59375,918.1811983
75,275,26,158,494,1001,116,1447,158,494,1001,103,142,988,2248,11.98148148,2.026315789,0.493506494,715.8689509
99,333,32,152,462,805,117,1603,152,462,805,87,151,1086,2456,12.74691358,1.742424242,0.573913043,812.4738946
77,276,33,150,476,838,129,1473,150,476,838,105,138,1014,2265,12.0308642,1.760504202,0.568019093,721.628987
92,272,37,162,450,942,143,1603,162,450,942,90,126,1132,2435,12.67283951,2.093333333,0.477707006,802.2164262
95,278,30,147,447,848,161,1520,147,447,848,87,139,1065,2299,12.14197531,1.897091723,0.527122642,735.1661781
65,235,46,159,489,1239,73,1353,159,489,1239,100,125,913,2157,11.37037037,2.533742331,0.394673123,662.9242373
100,289,46,216,588,1045,137,1566,216,588,1045,104,129,1015,2595,13.2962963,1.777210884,0.562679426,888.931246
85,282,44,179,535,975,97,1466,179,535,975,107,138,961,2373,12.35185185,1.822429907,0.548717949,772.6366599
92,284,35,208,587,1052,71,1494,208,587,1052,84,148,967,2472,12.84567901,1.792163543,0.557984791,829.4162382
98,283,41,165,643,1016,92,1471,165,643,1016,89,116,982,2331,13.04938272,1.580093313,0.632874016,798.5628701
84,303,47,152,531,1006,76,1467,152,531,1006,107,132,965,2320,12.33333333,1.894538606,0.527833002,754.753746
51,295,38,135,441,1022,53,1401,135,441,1022,139,144,933,2177,11.37037037,2.317460317,0.431506849,663.4581235
77,291,27,191,606,1094,67,1419,191,606,1094,94,159,910,2337,12.5,1.805280528,0.55393053,773.4468248
76,331,38,160,504,965,76,1506,160,504,965,104,172,977,2393,12.40740741,1.91468254,0.522279793,778.6513161
107,261,88,53,302,963,369.4189136,2264,77,441,1405,546,75.87306802,1149,2147,16.69753086,3.185941043,0.313603323,645.1238174
78,209,82,33,346,744,216,2080,46,479,1030,644,34.99236279,1178,1974,15.7962963,2.150313152,0.465053763,594.0529527
82,248,126,71,455,525,499,2249,95,609,703,699,60.85266591,1235,2393,17.64197531,1.154351396,0.866666667,816.7724758
85,202,108,68,341,633,354,1729,82,412,765,597,47.32669206,1052,2052,13.21604938,1.856796117,0.538704581,597.4684426
105,248,68,53,596,570,419,2003,67,754,721,523,67.07044655,1214,2126,17.01851852,0.956233422,1.045614035,751.4348856
93,213,76,38,646,627,347,1810,46,787,764,436,95.83387948,1159,1965,16.0308642,0.970775095,1.03030303,686.5306018
102,212,94,63,625,632,339,1742,74,734,742,420,91.19560846,1115,2073,15.28395062,1.010899183,0.988924051,714.4146585
108,224,63,82,705,367,305,2141,103,885,461,443,103.6024529,1336,2301,18.67901235,0.520903955,1.920980926,888.0590002
92,216,92,45,512,339,298,2165,56,633,419,455,107.4088409,1398,2286,17.27160494,0.66192733,1.510324484,829.6027933
111,207,60,58,440,329,187,1810,63,478,358,325,140.0945111,1340,2166,14.12345679,0.748953975,1.337386018,734.1867761
77,191,80,56,464,326,214,1933,66,545,383,318,101,1320,2166,15.2962963,0.702752294,1.423312883,737.3200659
86,168,46,17,471,569,223,1647,20,557,673,279,106,1162,1704,13.60493827,1.208258528,0.827768014,520.4632484
56,183,52,33,380,572,161,1412,35,402,606,323,145,1066,1720,11.19753086,1.507462687,0.664335664,486.737911
47,267,58,40,594,619,181,1631,43,637,664,372,118,1155,2023,14,1.042386185,0.959612278,698.1068028
55,240,72,37,481,731,145,1642,39,509,774,312,137,1202,2046,13.27777778,1.520628684,0.658002736,675.967421
74,205,64,34,524,687,190,1517,36,562,737,293,88,1111,1849,12.83333333,1.3113879,0.762736536,589.4251842
100,226,64,37,532,653,147,1465,39,563,691,251,151,1057,1849,12.51851852,1.227353464,0.814701378,584.6045911
88,246,61,18,585,661,129,1384,19,623,704,227,123,974,1721,12.38888889,1.130016051,0.885022693,539.1827873
76,179,79,23,452,622,164,1435,24,479,659,237,129,1074,1761,11.81481481,1.375782881,0.726688103,524.6937125
69,140,77,17,457,572,108,1731,22,597,747,240,116,1091,1670,14.37037037,1.251256281,0.798951049,490.6760955
66,165,72,28,414,561,169,1632,33,483,654,238,129,1135,1793,13.05555556,1.354037267,0.737967914,533.8889752
66,179,92,25,410,520,94,1542,27,437,554,255,133,1151,1885,12.21604938,1.267734554,0.788461538,572.7174855
84,221,106,65,399,498,100,1750,69,422,527,211,129,1261,2281,13.40740741,1.248815166,0.801204819,752.2428111
56,172,77,34,410,478,71,1519,36,434,506,228,128,1152,1863,12.05555556,1.165898618,0.857740586,563.2025293
57,224,61,34,451,425,60,1611,36,474,447,242,165,1212,1979,12.87037037,0.943037975,1.061176471,638.4506391
56,205,55,26,375,478,78,1519,28,397,506,178,163,1149,1828,11.82716049,1.274559194,0.784518828,541.0453369
74,275,74,43,429,402,82,1757,46,454,426,234,154,1267,2211,13.64814815,0.938325991,1.067164179,743.5926244
70,223,66,17,454,371,86,1640,18,484,395,222,160,1233,1945,13.11111111,0.816115702,1.223719677,630.7118416
63,227,64,39,364,382,105,1658,41,383,402,243,137,1246,2048,12.59876543,1.049608355,0.952879581,643.7632134
53,255,43,55,473,399,64,1614,58,501,422,204,149,1171,2030,13.05555556,0.842315369,1.185463659,660.2905002
59,265,81,35,429,454,68,1639,37,451,478,215,154,1177,2090,12.90123457,1.059866962,0.944933921,674.0276423
74,259,82,69,349,418,73,1663,73,367,440,187,176,1171,2211,12.5308642,1.198910082,0.83492823,690.2079988
67,232,62,36,387,452,48,1513,38,407,475,176,148,1108,1902,11.85185185,1.167076167,0.85619469,568.7333664
81,276,56,66,365,522,38,1616,69,384,549,160,153,1138,2122,12.34567901,1.4296875,0.699233716,655.8182121
87,228,59,57,343,450,26,1461,60,361,473,137,156,1045,1906,11.24691358,1.310249307,0.762222222,545.1349735
84,250,47,89,402,472,32,1680,95,431,506,181,129,1180,2177,13.0308642,1.174013921,0.851694915,694.6280366
40,247,35,79,374,462,21,1565,84,396,489,209,107,1117,2032,12.10493827,1.234848485,0.80952381,616.4839877
75,218,47,70,455,612,24,1604,74,479,644,199,184,1190,2047,12.85802469,1.344467641,0.743464052,660.0517336
84,213,44,67,517,754,48,1437,71,551,804,167,136,1024,1850,12.27160494,1.459165154,0.685676393,572.767773
68,213,42,60,393,530,44,1606,64,422,569,194,191,1182,1974,12.51851852,1.348341232,0.741509434,609.084835
69,233,53,63,428,619,51,1552,67,456,660,195,180,1107,1984,12.39506173,1.447368421,0.691437803,612.8590524
65,230,21,74,519,555,54,1457,81,568,608,152,151,1006,1825,12.5,1.070422535,0.935135135,562.0536775
72,214,38,41,497,645,59,1360,43,526,683,188,147,991,1697,11.64197531,1.298479087,0.770542636,503.4737917
68,263,41,83,480,535,39,1437,87,505,563,191,168,979,1960,11.98765432,1.114851485,0.897196262,600.1452702
71,244,27,108,554,544,87,1651,115,590,580,206,171,1170,2171,13.83333333,0.983050847,1.018382353,739.8712678
86,252,51,47,591,496,64,1544,50,626,525,179,137,1108,1953,13.39506173,0.838658147,1.191532258,656.4306179
90,279,44,89,587,526,61,1598,94,617,553,161,130,1107,2153,13.67283951,0.896272285,1.115969582,737.0637933
96,288,52,101,710,568,46,1635,107,752,601,151,140,1103,2239,14.7345679,0.799202128,1.25,815.6610864
79,259,35,108,720,690,29,1522,114,757,726,157,151,1045,2100,14.06790123,0.959048877,1.043478261,743.9166779
87,259,38,156,647,648,75,1561,164,681,682,191,154,1031,2287,13.83950617,1.001468429,0.99845679,789.972856
80,246,39,137,594,649,84,1533,144,625,683,153,165,1035,2192,13.32098765,1.0928,0.915254237,734.3119756
68,198,33,116,511,753,61,1361,123,541,797,162,151,938,1897,11.74074074,1.473197782,0.678618858,574.4294532
94,228,43,146,495,651,57,1543,154,521,685,122,180,1050,2219,12.74074074,1.314779271,0.760368664,712.5902301
89,230,58,191,530,773,44,1524,201,558,813,160,163,970,2368,12.85185185,1.456989247,0.685640362,765.2453329
100,232,65,209,485,767,37,1625,220,510,807,126,182,1039,2534,13.17901235,1.582352941,0.632333768,826.8770751
89,224,37,184,507,794,43,1538,191,527,825,128,143,1036,2331,12.74691358,1.565464896,0.638539043,755.6258703
93,208,50,179,487,834,73,1541,188,512,877,146,144,1028,2310,12.67283951,1.712890625,0.583932854,737.9238989
87,209,36,198,562,926,74,1511,208,591,974,117,160,993,2311,12.97530864,1.648054146,0.606911447,756.3172121
86,204,38,181,581,975,57,1376,181,581,975,123,154,953,2199,12.08024691,1.678141136,0.595897436,712.3149971
84,204,39,139,525,954,75,1345,139,525,954,129,161,963,2044,11.54320988,1.817142857,0.550314465,638.0272826
88,274,32,159,486,825,53,1522,159,486,825,143,139,1057,2337,12.39506173,1.697530864,0.589090909,760.9359801
86,243,28,196,408,976,64,1419,196,408,976,140,145,952,2306,11.27777778,2.392156863,0.418032787,699.2991014
85,220,32,207,512,913,59,1476,207,512,913,154,139,1017,2381,12.27160494,1.783203125,0.560788609,771.7953394
77,191,29,158,512,947,55,1307,158,512,947,138,148,929,2030,11.22839506,1.849609375,0.540654699,622.6502605
81,179,31,80,414,782,83,1399,80,414,782,125,139,1109,1880,11.19135802,1.888888889,0.529411765,563.4876591
76,215,24,160,522,736,58,1495,160,522,736,140,118,1096,2238,12.45061728,1.409961686,0.70923913,735.64788
74,196,18,151,560,810,49,1508,159,589,852,164,137,1069,2119,12.94444444,1.446519525,0.691358025,694.6401338
76,220,34,207,612,875,85,1515,208,616,880,167,143,1045,2415,13.15432099,1.428571429,0.699428571,824.7372421
88,202,37,120,571,772,72,1375,120,571,772,132,161,1016,2011,12.01234568,1.352014011,0.739637306,648.4906333
67,180,28,108,546,764,55,1339,109,549,769,176,148,1015,1891,11.65432099,1.400728597,0.714659686,592.5947523
70,170,30,82,589,811,74,1309,82,589,811,167,151,1027,1785,11.71604938,1.376910017,0.726263872,565.4347733
61,218,20,139,537,876,82,1404,139,537,876,175,127,1027,2079,11.98148148,1.631284916,0.613013699,666.9209573
69,191,39,123,550,874,90,1313,123,550,874,153,126,960,1951,11.5,1.589090909,0.629290618,609.080518
67,223,28,128,496,828,99,1424,130,502,838,185,141,1027,2069,11.88888889,1.669322709,0.599033816,650.8395609
82,227,22,145,437,905,73,1368,146,440,911,163,157,966,2066,11.16049383,2.070454545,0.482872928,621.4450358
76,226,34,98,491,825,150,2069,150,750,1261,156,142,996,1942,17.40123457,1.681333333,0.595151515,596.2981566
89,215,22,146,554,869,151,1411,146,554,869,137,186,1028,2108,12.12962963,1.568592058,0.637514384,683.301114
88,218,45,130,582,847,146,1489,130,582,847,137,176,1096,2187,12.78395062,1.45532646,0.687131051,737.5202369
80,234,27,111,555,896,140,1338,111,555,896,139,153,966,1959,11.68518519,1.614414414,0.619419643,618.0907941
66,213,28,126,553,849,72,1359,126,553,849,159,197,992,2006,11.80246914,1.535262206,0.651354535,637.7777989
72,242,24,139,541,910,94,1364,140,544,916,142,182,951,2063,11.77777778,1.683823529,0.594505495,651.3430592
69,286,24,153,645,839,136,1419,154,649,844,117,171,947,2203,12.7654321,1.30046225,0.768772348,742.1260558
55,231,28,97,437,859,96,1352,98,442,870,153,140,979,1913,11.07407407,1.968325792,0.508731083,566.7210856
65,263,26,162,473,1010,92,1376,162,473,1010,158,133,925,2177,11.41358025,2.135306554,0.468316832,669.7621446
94,255,30,141,563,906,165,1407,141,563,906,138,122,981,2145,12.16049383,1.609236234,0.621412804,696.1983964
98,223,48,138,493,924,126,1391,138,493,924,109,121,982,2124,11.62962963,1.874239351,0.533549784,662.9271896
104,239,29,169,560,946,125,1444,169,560,946,108,146,1007,2248,12.37037037,1.689285714,0.591966173,737.6003198
101,236,30,189,585,1050,82,1521,213,658,1181,113,127,897,2215,13.45061728,1.794832827,0.557142857,712.5885632
96,264,28,197,530,1032,83,1514,197,530,1032,130,143,1025,2425,12.61728395,1.947169811,0.513565891,801.3418376
101,268,37,174,597,1160,108,1490,174,597,1160,114,136,1011,2354,12.88271605,1.943048576,0.514655172,795.4648789
106,297,26,215,548,1062,98,1489,215,548,1062,91,139,951,2483,12.57407407,1.937956204,0.516007533,817.6900148
103,309,23,197,608,962,148,1481,197,608,962,111,122,952,2427,12.89506173,1.582236842,0.632016632,819.1679965
95,274,26,179,595,1010,148,1490,179,595,1010,129,138,1011,2353,12.87037037,1.697478992,0.589108911,794.6025352
88,263,24,174,493,1039,85,1432,174,493,1039,103,133,971,2265,11.88271605,2.107505071,0.474494706,717.3910189
101,321,31,235,545,933,68,1608,235,545,933,121,166,1021,2696,13.29012346,1.711926606,0.584137192,916.8186314
96,304,37,178,587,1158,86,1503,178,587,1158,116,171,984,2415,12.90123457,1.97274276,0.506908463,814.3035316
90,308,37,184,534,1084,92,1453,184,534,1084,86,170,924,2387,12.2654321,2.029962547,0.492619926,772.6823801
79,312,26,222,526,1169,52,1510,222,526,1169,99,146,950,2540,12.56790123,2.22243346,0.449957228,832.9193796
57,227,78,31,384,454,208,1748,37,454,537,465,125,1142,1954,13.59259259,1.182819383,0.845814978,593.8933425
93,248,73,35,444,390,163,1780,42,529,465,326,145,1138,1993,14.25308642,0.879017013,1.138461538,630.3661713
76,193,79,14,316,628,118,1538,16,368,732,312,110,1034,1713,11.7654321,1.989130435,0.503184713,460.8329451
69,163,56,11,354,649,160,1438,12,377,692,285,83,1119,1657,11.2037037,1.835543767,0.545454545,461.5400495
60,190,77,19,482,814,221,1337,20,510,862,319,132,977,1664,11.40123457,1.690196078,0.592137592,482.8617362
75,196,79,18,448,914,247,1391,19,474,968,336,121,1021,1722,11.51234568,2.042194093,0.490153173,501.7361448
66,175,68,20,497,805,212,1389,21,523,847,353,151,1057,1691,11.80246914,1.619502868,0.617391304,508.1056233
83,190,53,15,660,673,246,1397,16,694,708,261,126,1070,1669,12.90740741,1.020172911,0.980683507,550.5674795
60,193,66,16,426,568,165,1383,17,448,598,296,146,1040,1688,11.30246914,1.334821429,0.75,484.9563946
77,202,53,7,527,451,183,1834,9,700,599,252,114,1119,1710,15.64197531,0.855714286,1.168514412,536.4665995
78,218,85,36,456,516,86,1676,42,531,601,249,114,1099,1934,13.62345679,1.131826742,0.88372093,600.7841245
80,295,88,53,452,359,125,1851,56,479,380,245,126,1312,2378,14.38271605,0.793319415,1.259052925,835.5946119
85,259,112,70,434,428,97,1831,74,457,450,236,134,1300,2434,14.12345679,0.984682713,1.014018692,843.070433
98,306,99,103,498,401,139,1874,108,524,422,206,166,1273,2594,14.80246914,0.805343511,1.241895262,931.7734841
79,264,66,87,471,451,68,1691,93,502,481,188,155,1170,2244,13.53703704,0.958167331,1.044345898,745.7588611
79,284,66,71,496,372,91,1753,76,529,396,188,150,1224,2274,14.08641975,0.748582231,1.333333333,782.9536882
65,266,82,76,460,489,65,1603,80,484,514,240,176,1100,2182,12.88271605,1.061983471,0.940695297,703.441332
62,277,62,58,469,445,96,1615,61,497,471,263,176,1128,2100,13.03703704,0.947686117,1.053932584,681.4172361
86,290,80,66,576,504,80,1583,69,606,530,194,154,1069,2153,13.51234568,0.874587459,1.142857143,729.3674348
67,304,70,79,523,579,98,1566,83,550,609,199,160,1036,2170,13.0617284,1.107272727,0.90328152,711.3466447
66,302,65,80,513,610,77,1611,84,540,642,243,168,1084,2203,13.27777778,1.188888889,0.840983607,730.6863808
66,288,73,70,533,555,73,1662,74,561,584,197,164,1149,2224,13.72222222,1.040998217,0.96036036,759.6697397
59,262,69,69,558,597,77,1538,74,599,640,161,174,1034,2041,13.19135802,1.068447412,0.934673367,667.4635781
71,269,63,66,548,673,46,1609,70,584,717,199,171,1112,2103,13.53703704,1.227739726,0.814264487,705.189479
69,310,54,78,632,598,48,1642,83,674,637,198,147,1099,2193,14.2962963,0.945103858,1.056856187,772.7362276
61,319,70,84,666,668,66,1706,90,710,712,200,152,1128,2312,14.91358025,1.002816901,0.997005988,843.1526726
48,344,46,75,541,536,32,1741,79,569,564,183,175,1190,2316,14.25925926,0.991212654,1.009328358,816.2966592
45,255,53,96,588,637,50,1607,101,619,670,209,151,1124,2177,13.74074074,1.082390953,0.923076923,747.6969569
70,292,61,124,585,675,54,1575,130,615,710,166,188,1020,2283,13.51851852,1.154471545,0.866666667,770.7556702
74,296,61,96,815,581,53,1594,101,857,611,159,164,1062,2221,15.12962963,0.712952159,1.402753873,838.4369225
77,244,38,83,606,689,39,1441,88,646,734,162,135,987,1921,12.88271605,1.13622291,0.879535559,624.1059835
94,235,47,76,559,635,46,1470,80,588,668,180,149,1039,1954,12.7037037,1.136054422,0.880314961,630.7634936
87,231,40,68,536,595,27,1499,73,575,638,153,132,1058,1912,12.80246914,1.109565217,0.900840336,609.94185
69,231,48,88,489,750,24,1494,93,514,789,167,165,1053,2011,12.39506173,1.535019455,0.652,632.4748311
62,199,55,95,613,698,73,1370,100,645,734,141,178,953,1896,12.4382716,1.137984496,0.878223496,606.9448889
62,266,66,67,612,606,67,1613,71,648,642,178,201,1124,2122,13.95679012,0.990740741,1.00990099,737.2769426
56,224,32,123,664,736,40,1440,129,698,774,174,162,990,2026,13.19753086,1.108882521,0.902173913,681.0132233
61,247,45,112,726,783,41,1404,118,764,824,206,163,931,2008,13.38271605,1.078534031,0.927203065,686.210311
55,235,49,90,548,729,37,1425,95,576,767,180,188,981,1958,12.35185185,1.331597222,0.751714678,618.5680595
67,237,48,86,568,757,32,1483,90,598,796,163,185,1039,2001,12.84567901,1.331103679,0.750330251,652.0923894
57,205,52,55,492,667,32,1449,58,518,702,155,160,1065,1851,12.14197531,1.355212355,0.737631184,571.7140793
60,186,41,57,589,781,36,1398,60,620,822,170,167,1045,1768,12.45679012,1.325806452,0.754161332,563.4059862
73,208,36,96,592,763,41,1375,101,623,803,140,149,967,1875,12.33333333,1.288924559,0.775884666,595.2429793
81,204,42,93,537,745,61,1506,99,572,794,116,169,1074,1980,12.82716049,1.388111888,0.720805369,636.5037956
78,206,20,114,511,774,35,1383,121,541,820,121,168,966,1894,11.87654321,1.515711645,0.660206718,578.0479575
78,191,24,115,564,726,38,1372,121,593,764,155,171,974,1888,12.12962963,1.28836425,0.776859504,591.4302174
94,217,35,129,627,843,39,1446,136,660,887,113,181,994,2049,13,1.343939394,0.743772242,678.3130903
95,227,36,149,581,902,39,1393,149,581,902,126,173,981,2139,12.18518519,1.552495697,0.644124169,696.9080862
77,225,34,156,516,931,45,1363,156,516,931,122,152,948,2124,11.59876543,1.804263566,0.55424275,664.4649615
86,207,32,146,469,940,97,1359,146,469,940,99,157,974,2068,11.28395062,2.004264392,0.49893617,631.752735
97,229,20,162,537,1019,78,1357,162,537,1019,95,159,946,2112,11.69135802,1.897579143,0.526987242,666.5573869
94,227,38,125,529,907,67,1299,125,529,907,126,152,909,1977,11.28395062,1.714555766,0.583241455,607.2894583
98,246,35,177,520,938,56,1462,179,527,950,116,144,986,2291,12.27777778,1.802656546,0.554371002,737.4152296
76,216,44,139,534,1008,54,1328,140,537,1014,125,145,921,2041,11.51234568,1.888268156,0.529761905,633.7813292
91,215,28,133,570,1019,78,1187,133,570,1019,120,131,811,1857,10.84567901,1.787719298,0.559371933,560.3936477
109,234,29,175,634,806,82,1465,175,634,806,101,145,1027,2282,12.95679012,1.271293375,0.786600496,778.738411
108,213,25,179,717,952,84,1424,179,717,952,117,148,1007,2224,13.21604938,1.327754533,0.753151261,776.6741869
104,212,26,162,689,865,68,1453,166,706,887,115,152,1017,2167,13.32716049,1.256373938,0.796531792,747.1866395
84,203,31,105,533,984,82,1276,110,561,1035,105,158,874,1793,11.33950617,1.844919786,0.541666667,533.587413
97,229,48,119,648,752,146,1474,119,648,752,119,184,1078,2156,13.09876543,1.160493827,0.861702128,745.5752865
91,226,27,116,509,770,145,1418,116,509,770,128,174,1049,2046,11.89506173,1.512770138,0.661038961,650.3626719
92,228,34,126,591,850,106,1435,128,602,866,109,178,1020,2082,12.57407407,1.438538206,0.695294118,685.5259052
88,213,28,119,519,883,150,1326,119,519,883,118,157,966,1952,11.38888889,1.701348748,0.587768969,602.7588473
98,232,25,149,563,951,91,1451,150,566,957,107,190,1036,2171,12.45061728,1.690812721,0.592008412,713.7961325
91,250,19,155,555,869,75,1415,156,558,874,111,167,982,2159,12.17901235,1.566308244,0.638665132,698.2927162
104,263,24,184,619,863,101,1454,187,631,879,127,164,956,2290,12.87037037,1.393026941,0.717265353,765.8066408
100,258,29,156,587,766,111,1523,156,587,766,95,178,1080,2307,13.02469136,1.304940375,0.766318538,786.9789301
91,255,17,136,623,700,63,2101,210,961,1080,105,176,954,2059,18.90123457,1.123829344,0.89,677.187031
94,259,27,179,634,796,49,1478,179,634,796,101,140,1013,2328,13.03703704,1.255520505,0.796482412,796.8218711
98,283,27,168,601,800,61,1492,168,601,800,121,159,1014,2333,12.91975309,1.331114809,0.75125,790.9067653
85,234,23,160,620,884,51,1374,160,620,884,123,166,957,2134,12.30864198,1.425806452,0.701357466,703.4858385
84,235,22,215,608,914,69,1469,216,612,920,116,169,988,2384,12.84567901,1.503267974,0.665207877,800.9477257
73,223,13,169,563,862,64,1425,169,563,862,135,163,1020,2181,12.27160494,1.531083481,0.653132251,713.2022528
67,219,20,211,524,939,69,1437,211,524,939,109,174,987,2329,12.10493827,1.791984733,0.558040469,750.1747407
54,200,20,138,507,874,69,1291,139,510,879,119,173,925,1937,11.11728395,1.723529412,0.580091533,586.7354154
87,238,33,129,593,957,118,1369,129,593,957,87,163,969,2060,12.11111111,1.613827993,0.619644723,669.479051
76,235,22,133,664,968,95,1344,134,668,974,92,152,946,2014,12.41975309,1.458083832,0.685950413,669.3604733
67,256,29,170,528,974,50,1421,170,528,974,89,172,966,2245,12.0308642,1.84469697,0.542094456,719.8560032
89,243,36,148,647,827,89,1423,148,647,827,93,168,996,2182,12.77777778,1.27820711,0.782345828,739.6708523
85,287,24,157,655,930,73,1470,157,655,930,100,171,1002,2276,13.11728395,1.419847328,0.704301075,785.2017022
80,258,30,195,646,903,104,1603,219,727,1016,81,159,942,2328,14.38271605,1.397524072,0.715393134,786.1888655
88,299,29,257,645,915,76,1557,257,645,915,97,173,972,2685,13.59259259,1.418604651,0.704918033,934.3252016
98,264,22,196,586,952,63,1498,196,586,952,97,148,1016,2394,12.86419753,1.624573379,0.615546218,806.7437249
79,303,11,214,593,903,86,1520,214,593,903,81,144,992,2487,13.04320988,1.522765599,0.656699889,844.1814257
78,299,21,203,615,890,107,1572,203,615,890,89,192,1049,2522,13.5,1.447154472,0.691011236,878.7212562
74,310,22,184,558,900,126,1508,184,558,900,116,151,992,2414,12.75308642,1.612903226,0.62,805.5295998
63,264,24,137,517,995,134,1375,138,520,1001,126,138,942,2090,11.69753086,1.925,0.51959799,654.3728719
67,311,27,165,452,993,110,1353,165,452,993,91,173,850,2213,11.14197531,2.196902655,0.455186304,666.9046032
78,319,18,169,528,949,101,1614,169,528,949,110,161,1108,2476,13.22222222,1.797348485,0.556375132,846.4319051
74,296,27,189,447,902,83,1492,189,447,902,107,154,980,2409,11.9691358,2.017897092,0.49556541,760.8182223
44,221,79,25,664,450,196,1881,31,815,552,603,100.202339,1208,1987,16.64197531,0.677300613,1.475555556,714.1333799
